Mean,mu_MLE,mu_MOM,variance,sigma_squared_MLE,sigma_squared_MOM
6.492255,6.503376579177465,7.790928006111137,15.639842295,15.452943338677258,29.169448051706482
6.5592,6.489407734370745,7.799391701411285,11.950862399999998,11.572283238246367,20.96628137996952
6.59904,6.650893142129232,7.992606811200122,12.960514559999998,13.014564190927114,24.729382918335595
6.669720000000001,6.625879336684108,8.024423868899822,10.19133216,9.952693998355526,19.74428400865318
6.7688500000000005,6.784551620902466,8.172318059359721,11.540889250000005,11.163913352057,21.425365021034587
6.8227199999999995,6.790605645731585,8.131571162577895,15.06456576,14.20587908903708,25.933160626460566
6.928910000000001,6.894363736055027,8.448469743476048,7.7811659299999985,7.939669936618343,18.201407526461143
6.976710000000001,6.977517069934814,8.385935612160868,12.15342882,12.218487029670035,22.994378382489227
6.9903499999999985,6.947669433718822,8.496256417768603,8.772889249999999,8.567092620790687,18.30052026478561
6.993525,7.017054394272785,8.463701391597874,11.308529925,11.256025342061417,21.162543533732304
7.002999999999999,6.97859564634781,8.485852883849027,10.43447,9.82672819221448,20.07464880033536
7.023335000000001,7.008332439726548,8.376371940810099,35.61533178500001,35.383993689029204,63.149203291405584
7.085980000000001,7.107159617194418,8.63992239553394,9.665276720000003,9.760660842308466,19.899582936380423
7.104000000000001,7.1147072007077625,8.752088178606439,8.411136000000003,7.897322294180597,18.05755655931528
7.138965000000002,7.1728810643164405,8.578962693872995,14.499237915000005,14.319005465216177,27.47300383081611
7.157700000000001,7.100909838620787,8.600419310985576,10.629184500000003,10.321178789239706,20.116861794591607
7.2452,7.226218410916251,8.625052913742321,34.197343999999994,33.48426251776564,60.28124184184721
7.26432,7.229354015078466,8.655210166362156,14.034666239999998,13.26023681548172,24.13181421654076
7.286500000000001,7.273203522244173,8.649620547402924,21.495175000000003,20.837750877254813,37.599979314619546
7.2955299999999985,7.360486424051629,8.768174721028396,16.68487711,16.224157711629164,29.44502574934873
