,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
18,8.698495929157314,32.43335281781966,0.4711615134375372,1.7058712527500817,399.9745315781788,294.82950568203466,1.0,0.0,281.82570000000004,96.46701308737616,282.1213874547272,95.65637718820408,8.535,33.02
19,3.768803146624871,15.78778915983018,0.07692290201217618,0.3407362633293349,84.15575594041569,66.8338892691147,1.0,0.0,59.575900000000004,30.62229034543302,59.501069463818006,30.649475354060606,3.785,15.74
20,7.670363785194398,25.90664468360829,0.16435267313656365,0.517686475691327,234.60465862448794,156.7785399955082,1.0,0.0,198.7732,72.05522870687457,198.71338917704804,71.74954471831411,7.61,26.12
22,7.2761617562497385,27.916440832263202,0.15939260523896664,0.5716896867256629,243.0828403878673,171.04920202240504,1.0,0.0,205.2333,75.77880794786891,203.12453915432212,75.3028165401691,7.335,27.98
24,9.582926755070856,64.24469771134557,0.25831797256468136,2.196272771706732,805.145094607064,174.7400854363087,1.0,0.0,614.073,198.55348548942678,615.6522325694929,198.8778307824733,9.565,64.2
25,9.152626211914944,77.90232396378504,0.18550868447425997,1.668146070066037,845.4190813304054,307.7987067498498,1.0,0.0,713.2229,237.28003650960608,713.0108522800286,235.6802970212259,9.035,78.94
26,3.182118762029362,13.491342086199031,0.05171363155146918,0.24087509567850574,57.2457785316697,47.89553325764918,1.0,0.001004016064257028,42.5756,23.58044393135973,42.93105277745029,24.06652278874634,3.26,13.06
27,8.106960850763231,26.712571947318633,0.21305574112718084,0.6366035836041632,259.17839853207573,191.64734312889712,1.0,0.0,214.8482,76.97735612503199,216.55777500010828,76.05797226748575,7.79,27.58
28,7.33824045300659,88.6722659323613,0.1438457022146009,2.031733795234714,816.3577613308721,294.460496859718,1.0,0.0,658.72,246.17522214877758,650.6984089246118,240.20595820655146,7.16,92.0
29,0.24623370687962626,25.986330730853414,0.0066409130784662665,0.9451038946712048,9.444154821824801,18.16047690220318,1.0,0.6840981856990395,6.681599999999999,13.638758887816733,6.398710544057984,12.89492180856052,0.24,27.839999999999996
31,0.9000500384512307,8919.403786062683,0.011973503811846796,167.39028798218533,11107.868530681699,13920.99044870026,1.0,0.05888223552894212,8128.29155,8591.871143413959,8027.90972060777,8461.924624821375,0.895,9081.89
33,4.5857950190845065,1061.6459512584686,0.10911215992275752,26.181138452238304,7007.227449923555,5260.591427414655,1.0,0.0,4862.960999999999,2302.678771854641,4868.490715312318,2273.4584792009655,4.46,1090.35
34,5.494566366315586,429.9980591744436,0.12384848943378737,11.926293094489559,3171.950735094549,1297.0551276362246,1.0,0.0,2381.8655999999996,1018.8779628120336,2362.6528735208767,1007.9365804041935,5.465,435.84
35,3.9948810360444025,9.374567068434304,0.06661951872685673,0.1755303877876852,48.29031435016079,33.20171315091957,1.0,0.0,37.9176,19.237353664160775,37.45028020281457,18.73713327841115,3.885,9.76
36,4.435663795672599,114.02512095546648,0.10351900618096486,3.2629847811914163,695.2071704568783,328.5050810519828,1.0,0.0,506.70674999999994,240.87961711714007,505.77710081935163,240.14848551975447,4.425,114.50999999999999
38,4.266593175750149,26.868248068683318,0.10425309863037693,0.8041852536719044,158.98580654151257,74.69907473953755,1.0,0.0,115.38225,55.804721372837264,114.63588385420637,55.49833659640246,4.275,26.99
39,2.2211595308838676,25.34701594386468,0.03875375453210708,0.517892510482005,79.98354069544011,68.18653810081315,1.0,0.005307855626326964,55.808550000000004,37.58343252684619,56.299766043180384,37.77606474386056,2.205,25.310000000000002
41,1.3665406293568105,17.664751640099027,0.021879551935760983,0.3583104154493297,32.784098105357394,33.729133390258525,1.0,0.1016597510373444,24.25605,20.761262208738657,24.139600823692675,20.649940756371702,1.365,17.77
42,5.057230568325617,61.90650467553588,0.15842110614214067,2.0648595566529786,466.319105517501,313.0139307710372,1.0,0.0,313.92865,143.36285681967976,313.0754678233128,139.21712506943786,4.795,65.47
43,2.2308660665859232,10.62875507850891,0.04066730861554374,0.2385168808341777,32.19418044928408,23.39394472459063,1.0,0.03970741901776385,23.6562,15.894911638634547,23.711329034698327,15.875197916742508,2.215,10.68
44,0.6692584556370459,25.895585695814614,0.01174966795698677,0.6144702348008598,23.714924551745103,32.51519851312324,1.0,0.3109691160809372,17.35695,21.611930142863226,17.330839690597664,21.184717236448947,0.645,26.910000000000004
45,0.6461971557455018,20.864380517890236,0.011798187570169674,0.5071782051609575,18.57479861702189,25.640634620052683,1.0,0.3665338645418327,13.572000000000003,16.833994178447377,13.482503347052532,16.772122112798748,0.65,20.880000000000003
46,3.92894086227116,9.943768193494066,0.06765699877720359,0.18927890482923065,50.26346271035126,36.20416757693618,1.0,0.0011049723756906078,39.17475,20.13600413438575,39.06847718037111,19.710095909315687,3.785,10.35
